"ID_plata"	"Date_Time"	"payment_type"	"amount"	"currency"	"language"	"receiverID"	"result"	"result_code"	"ID_F"	"CONFIRMATION_code"	"hash"
"McsdnagOzlFSoak=            "	"6.6.2015 14:44:12"	"V"	"8500"	"498"	"ro"	"919 "	"OK"	"0"	"74249006    "	"359009"	"610e39397a975bde84c69ed6fd538be2"
"dJWyZ9j2OlyQOdw=            "	"6.6.2015 14:44:49"	"V"	"5000"	"498"	"ru"	"892 "	"OK"	"0"	"74249062    "	"232768"	"4331418be9c374b95e10de2fd32bcc41"
"TnMbgnx7LEyrgQQ=            "	"6.6.2015 14:45:47"	"V"	"6500"	"498"	"ro"	"919 "	"OK"	"0"	"74249093    "	"967737"	"610e39397a975bde84c69ed6fd538be2"
"y75rJMtRgBYlhjo=            "	"6.6.2015 14:46:14"	"V"	"45500"	"498"	"ro"	"707 "	"OK"	"0"	"74249201    "	"984589"	"9aa803533a7ed849ba5cbac5e56b550d"
"GajzucozeGXfQZ8=            "	"6.6.2015 14:46:19"	"V"	"31500"	"498"	"  "	"673 "	""	""	""	""	"9f8d66d2582324c1067fa8f4b8b6c81"
"LjVLAJP4sy+pzB0=            "	"6.6.2015 14:47:13"	"V"	"10000"	"498"	"ro"	"787 "	"OK"	"0"	"74249170    "	"336289"	"6998a0ade66c24377c557a4f5fb8680"
"MOekZieDMYhO4mY=            "	"6.6.2015 14:47:26"	"V"	"30000"	"498"	"ro"	"919 "	"OK"	"0"	"74249204    "	"658715"	"d0c5948e4cb330a118fc0b9258d13595"
"+PXF49zM2JSE7NI=            "	"6.6.2015 13:23:36"	"V"	"10000"	"498"	"ro"	"919 "	"FAILED"	"100"	"73244303    "	""	"48980730a19075604a9ff05b5c2c296e"
"1luyC47AhQBZrq4=            "	"6.6.2015 13:24:36"	"V"	"16500"	"498"	"ro"	"707 "	"OK"	"0"	"73244227    "	"330675"	"e038e0898be38a15e8d390f969b06a44"
"63wEBm68wqwITFE=            "	"6.6.2015 13:25:45"	"V"	"2000"	"498"	"ro"	"707 "	"OK"	"0"	"73244305    "	"017927"	"4517993a96083d2200eef2d3a9fa997f"
"qWE75vYeQ0SM/gk=            "	"6.6.2015 13:29:07"	"V"	"3000"	"498"	"ro"	"919 "	"FAILED"	"111"	"73244532    "	""	"e3198f9258483f7ac88650eabe9b2036"
"EcyDN62Nu3mb0a4=            "	"6.6.2015 13:29:19"	"V"	"5000"	"498"	"ro"	"707 "	"OK"	"0"	"73244534    "	"331019"	"22ca0e5793e0cd02afa68eb71578fe3"
"27+6rO4mXRmPWXE=            "	"6.6.2015 13:29:35"	"V"	"30000"	"498"	"ru"	"919 "	"OK"	"0"	"73244588    "	"099870"	"47e7a0531dc38979bdeda5289e529f0d"
"1url1UzfF+tXFhg=            "	"6.6.2015 13:30:34"	"V"	"3000"	"498"	"ro"	"919 "	"OK"	"0"	"73244680    "	"999375"	"7e859396f7ca5a74d06d04986c7294f4"
"4dw5c/r2rjgHDxQ=            "	"6.6.2015 13:30:51"	"V"	"14500"	"498"	"ro"	"919 "	"OK"	"0"	"73244648    "	"230209"	"30a607207d72742054c187edccf36eb1"
"+e/mLXSHwqTzEuE=            "	"6.6.2015 13:31:14"	"V"	"3000"	"498"	"ro"	"919 "	"OK"	"0"	"73244658    "	"659587"	"e3198f9258483f7ac88650eabe9b2036"
"DL4ngqQnGcpBD6E=            "	"6.6.2015 13:34:31"	"V"	"10000"	"498"	"ro"	"919 "	"OK"	"0"	"73244870    "	"659567"	"e3198f9258483f7ac88650eabe9b2036"
"ksRV+G6MPZHqHBU=            "	"6.6.2015 13:36:59"	"V"	"18000"	"498"	"ro"	"707 "	"OK"	"0"	"73245027    "	"331580"	"7ab11d282968170feba12c512052196b"
"1ayiTZ4fDB1KGrM=            "	"6.6.2015 13:38:36"	"V"	"10000"	"498"	"ro"	"919 "	"OK"	"0"	"73245103    "	"996824"	"c506faf9654f4308284a69162b986b2a"
"E7lhe7Absg8VcBE=            "	"6.6.2015 13:39:58"	"V"	"2000"	"498"	"ro"	"707 "	"OK"	"0"	"73245172    "	"630624"	"c58fc96c4fbb46ce70a4a381284fbb80"
"P0BMcryEKxinn44=            "	"6.6.2015 13:42:19"	"V"	"20000"	"498"	"ru"	"919 "	"OK"	"0"	"73245369    "	"332034"	"104a80793baa7a2f5889238f5456b5c9"
"rK3FvhldxSPjLV4=            "	"6.6.2015 13:42:46"	"V"	"4000"	"498"	"ro"	"707 "	"OK"	"0"	"73245336    "	"332010"	"905b6f4a5b750173194881ee7335f4f7"
"62caUYpraloq8EE=            "	"6.6.2015 13:44:48"	"V"	"25000"	"498"	"ru"	"897 "	"OK"	"0"	"73245531    "	"456249"	"412235f493e616ddd540b571cf5aa0c0"
"wp7pYTsQSAxlXic=            "	"6.6.2015 13:45:31"	"V"	"2000"	"498"	"ro"	"707 "	"OK"	"0"	"73245468    "	"332136"	"d988a44d6ed917704ae257e506f0f013"
"UyuED/lPdT7JrOM=            "	"6.6.2015 13:47:39"	"V"	"7000"	"498"	"ro"	"707 "	"OK"	"0"	"73245584    "	"332278"	"d988a44d6ed917704ae257e506f0f013"
"dlvI5qb01eG7Xck=            "	"6.6.2015 13:48:53"	"V"	"8000"	"498"	"ro"	"707 "	"OK"	"0"	"73245688    "	"080830"	"9bc99bf21de4a823256730eca723e08"
"MIzvhEGmFP6SZwk=            "	"6.6.2015 13:50:27"	"V"	"25000"	"498"	"ro"	"919 "	"OK"	"0"	"73245770    "	"332479"	"b93f0deeb5a860cc1781acec4aa7993b"
"1Bsi4wL1OqP3puM=            "	"6.6.2015 13:50:42"	"V"	"5000"	"498"	"ro"	"897 "	"OK"	"0"	"73245814    "	"866390"	"8fee1164d219ccccb75aa41182e3aeaf"
"oFydurNq11Gg8qo=            "	"6.6.2015 13:50:46"	"V"	"35000"	"498"	"ro"	"787 "	"OK"	"0"	"73245861    "	"885935"	"e04c41e71a345ef4cf505dbdb0127e20"
"4aQ4uWpUQmuRS9c=            "	"6.6.2015 13:51:00"	"V"	"30000"	"498"	"ro"	"919 "	"FAILED"	"116"	"73245809    "	"201836"	"deb1096841bd4ff8bf8db489c440c378"
"soh/DQvJVy/0OMU=            "	"6.6.2015 13:51:41"	"V"	"2500"	"498"	"ro"	"707 "	"OK"	"0"	"73245863    "	"332547"	"e538f0a37c95602a14889a33c0f06fd5"
"6RMSM+3rTe7mM8c=            "	"6.6.2015 13:52:13"	"V"	"10000"	"498"	"ro"	"919 "	"OK"	"0"	"73245879    "	"332567"	"ca4d916f3f87f02d2e799291befc0053"
"CsEiKYjFFOWqwIc=            "	"6.6.2015 13:52:49"	"V"	"15000"	"498"	"ro"	"919 "	"OK"	"0"	"73245940    "	"332612"	"a6b6291cf71dd60c9465fd63a8f24d3e"
"jKen60wEj7+DBZY=            "	"6.6.2015 13:53:00"	"V"	"20000"	"498"	"ro"	"919 "	"OK"	"0"	"73245946    "	"669791"	"3a90ec464175c94f71b54904827e5ff6"
"5Wlz2poCORvKenQ=            "	"6.6.2015 13:53:02"	"V"	"2500"	"498"	"ro"	"707 "	"OK"	"0"	"73245911    "	"332594"	"e538f0a37c95602a14889a33c0f06fd5"
"JtAs3uppmax+waQ=            "	"6.6.2015 13:53:23"	"V"	"30000"	"498"	"ro"	"919 "	"FAILED"	"116"	"73246064    "	"201836"	"deb1096841bd4ff8bf8db489c440c378"
"1qSNDop66ivfRBQ=            "	"6.6.2015 13:53:26"	"V"	"3000"	"498"	"ro"	"919 "	"OK"	"0"	"73245983    "	"471941"	"4edb7bec04e187928a0b400a92d2f133"
"FDkK3woQ9T1FnLs=            "	"6.6.2015 13:53:46"	"V"	"20000"	"498"	"ro"	"787 "	"FAILED"	"122"	"74246369    "	""	"6998a0ade66c24377c557a4f5fb8680"
"EgW7iTQfcYcHl8I=            "	"6.6.2015 13:56:27"	"V"	"30000"	"498"	"ro"	"919 "	"OK"	"0"	"73246157    "	"332863"	"8b3c07e1ab1788a11a887526c83999d2"
"m3f+4/70PUMpITE=            "	"6.6.2015 14:48:44"	"V"	"35000"	"498"	"ru"	"919 "	"TIMEOUT"	"-1"	"0               "	""	"77d1fa4159c114cef95ca62a347bc9a5"
"XCsX2DG+Bclux/o=            "	"6.6.2015 14:50:16"	"V"	"16000"	"498"	"ro"	"787 "	"OK"	"0"	"74249323    "	"232934"	"4331418be9c374b95e10de2fd32bcc41"
"kz46LlbCnNEGKwk=            "	"6.6.2015 14:50:25"	"V"	"40000"	"498"	"ro"	"919 "	"OK"	"0"	"74249311    "	"843790"	"a5cae800ab5aa33f29688542b9e35f11"
"r0dI05aUODWrJdg=            "	"6.6.2015 14:51:29"	"V"	"4000"	"498"	"ro"	"919 "	"OK"	"0"	"74249436    "	"336569"	"2f617b84cde883b886297aba7abe34c0"
"kLJ3A/PchXRQs3U=            "	"6.6.2015 14:51:42"	"V"	"1050"	"498"	"  "	"673 "	"OK"	"0"	"74249376    "	"439499"	"14dfff3a893082eee9ee672a1a44f0bc"
"LZGMbfm1h3s0Wcw=            "	"6.6.2015 14:52:38"	"V"	"31500"	"498"	"  "	"673 "	"DECLINED"	"-1"	"0               "	""	"bf7ba4a949cc9f773ada4bca6b501d2c"
"c+ofS7ky6zKKZ64=            "	"6.6.2015 14:54:36"	"V"	"12000"	"498"	"ro"	"919 "	"OK"	"0"	"74249585    "	"559818"	"5ee54b7c6c0ccc9e68bad69ac66efbc3"
"RiblFM/4WPFP0Rk=            "	"6.6.2015 14:55:05"	"V"	"50000"	"498"	"ro"	"707 "	"DECLINED"	"-1"	"0               "	""	"47284827bb79cf3a4cbddd8fb450ead7"
"5bRvgqTX6IrO2Nk=            "	"6.6.2015 14:56:49"	"V"	"31500"	"498"	"  "	"673 "	"DECLINED"	"-1"	"0               "	""	"427b1baf0df521c1edc276cc869a35d1"
"o0U3MBCssK+gbAc=            "	"6.6.2015 14:56:53"	"V"	"29900"	"498"	"ro"	"707 "	"DECLINED"	"-1"	"0               "	""	"47284827bb79cf3a4cbddd8fb450ead7"
"R7OH+Hdkh42OADM=            "	"6.6.2015 14:57:15"	"V"	"5000"	"498"	"ro"	"919 "	"OK"	"0"	"74249705    "	"458340"	"96394e72d6151ba78d6d50daf0d9994a"
"lXWhnR6b6kbz+Hw=            "	"6.6.2015 14:57:20"	"V"	"24000"	"498"	"ro"	"919 "	"OK"	"0"	"74249677    "	"336845"	"d0b5f29f5353dc1ea6f704d07a5fc9f8"
"A6K/mxr+F2pU6Rk=            "	"6.6.2015 14:57:41"	"V"	"3000"	"498"	"ro"	"707 "	"OK"	"0"	"74249675    "	"347770"	"5daeabb0fa234bded002b15eeb991059"
"8Q4Q7x0qN5QyJd4=            "	"6.6.2015 14:58:13"	"V"	"35000"	"498"	"ru"	"919 "	"FAILED"	"116"	"74249754    "	""	"77d1fa4159c114cef95ca62a347bc9a5"
"YgqEH/2LngiCOdc=            "	"6.6.2015 14:59:03"	"V"	"15000"	"498"	"ro"	"707 "	"DECLINED"	"-1"	"0               "	""	"a0399e502a2210ff3215d96bd04516"
"8lCfAiqBJDWZNac=            "	"6.6.2015 15:01:39"	"V"	"35000"	"498"	"ro"	"919 "	"OK"	"0"	"75249894    "	"369603"	"1545a00ca721616bcf9a5de0e44e8f26"
"LckqtgAxBA0Pz2I=            "	"6.6.2015 15:01:52"	"V"	"32000"	"498"	"ro"	"919 "	"OK"	"0"	"75249897    "	"166580"	"b7a0f98160fe83385e85235b0557972d"
"2et+zuQqUn75z9I=            "	"6.6.2015 15:01:54"	"V"	"20000"	"498"	"ro"	"707 "	"DECLINED"	"-1"	"0               "	""	"ef364a6c5317516567d0b08dda1e1dcd"
"9oU3PY2D9dYVB/M=            "	"6.6.2015 15:02:04"	"V"	"5000"	"498"	"ro"	"707 "	"OK"	"0"	"75249891    "	"337160"	"f23108450ae0adb3dbb9e52ec9cbd6a5"
"hQElDRQUGpYXge0=            "	"6.6.2015 15:03:00"	"V"	"30000"	"498"	"ro"	"919 "	"OK"	"0"	"75250050    "	"730711"	"73b6ab5fdfd99cb8b14092bd3a1c3e45"
"7pSDexZavX5tHmo=            "	"6.6.2015 15:03:36"	"V"	"31500"	"498"	"  "	"673 "	"FAILED"	"100"	"75250085    "	""	"aceb32b5e2ff4109840dd5732eb01d88"
"l4ZUfHh6hqLSSGA=            "	"6.6.2015 15:04:32"	"V"	"20000"	"498"	"ro"	"707 "	"DECLINED"	"-1"	"0               "	""	"19443210c06cda91cc90c0aa6c02293e"
"hwD7vtfpBLhhGvY=            "	"6.6.2015 15:04:50"	"V"	"20000"	"498"	"ro"	"919 "	"OK"	"0"	"75250033    "	"632544"	"87b7c14b66b5314ce38f22edadb21303"
"+BWkaj7YMF8DTsY=            "	"6.6.2015 15:05:31"	"V"	"21000"	"498"	"ru"	"897 "	"OK"	"0"	"75250128    "	"337419"	"963b9941a09e68ca74b30a792621d780"
"ybNEMh3mgXc0SaM=            "	"6.6.2015 15:06:33"	"V"	"13000"	"498"	"ro"	"707 "	"OK"	"0"	"75250131    "	"337425"	"8209545ec11ce20ae43851b21fc73ab9"
"eYufUL2mq4pvDG8=            "	"6.6.2015 15:08:04"	"V"	"15000"	"498"	"ro"	"919 "	"OK"	"0"	"75250189    "	"571364"	"e4d199a35c59e4e306c5b9839fb2c967"
"UdaEyUXqrtHlY9E=            "	"6.6.2015 15:08:19"	"V"	"19000"	"498"	"ru"	"897 "	"OK"	"0"	"75250187    "	"337485"	"963b9941a09e68ca74b30a792621d780"
"Ei1QqM9jAKbchGY=            "	"6.6.2015 15:09:55"	"V"	"10000"	"498"	"ro"	"919 "	"FAILED"	"116"	"75250428    "	""	"65ec5658da940fec3ef48c2c843447b2"
"beNXJObJ0WjDU4c=            "	"6.6.2015 15:10:02"	"V"	"14000"	"498"	"ro"	"707 "	"OK"	"0"	"75250305    "	"084673"	"e3362164f4071b699d8d60849d045e42"
